City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
404,tuy hoa,13.0833,109.3,23.730000000000018,93,98,2.68,VN,1675307076
405,kushima,31.4583,131.2333,14.200000000000045,62,47,4.18,JP,1675307479
406,northam,51.0333,-4.2167,9.100000000000023,92,20,5.65,GB,1675307479
407,uyuni,-20.4597,-66.825,11.78000000000003,57,41,9.27,BO,1675307480
408,muncar,-8.4333,114.3333,27.090000000000032,79,100,0.66,ID,1675307480
409,severomuysk,56.1481,113.4267,-23.039999999999964,95,99,2.06,RU,1675307480
410,saryozek,44.3583,77.9753,-4.8799999999999955,72,98,2.0,KZ,1675307481
411,zabid,14.1951,43.3152,21.610000000000014,70,15,0.83,YE,1675307481
412,kamaishi,39.2667,141.8833,1.25,52,6,7.38,JP,1675307481
413,beipiao,41.7919,120.7792,-5.909999999999968,25,5,1.47,CN,1675307482
414,hasaki,35.7333,140.8333,7.220000000000027,37,100,6.52,JP,1675306905
415,waddan,29.1614,16.139,12.180000000000007,61,100,2.47,LY,1675307482
416,dayong,25.0209,118.2898,18.53000000000003,52,30,2.45,CN,1675307483
417,kolo,52.2002,18.6387,3.0100000000000477,83,100,8.44,PL,1675307483
418,arlit,18.7369,7.3853,16.900000000000034,16,12,4.49,NE,1675307157
419,kavaratti,10.5669,72.642,26.79000000000002,75,87,3.96,IN,1675306981
420,saint-francois,46.4154,3.9054,3.6899999999999977,81,0,0.51,FR,1675307484
421,gorontalo,0.5412,123.0595,27.720000000000027,73,91,2.56,ID,1675306958
422,brzeg dolny,51.273,16.7082,4.0,82,99,9.45,PL,1675307484
423,van,38.4924,43.3831,0.6400000000000432,64,75,5.14,TR,1675307485
424,bunia,1.5667,30.25,16.75,73,7,0.93,CD,1675307485
425,sabla,12.7525,4.7077,21.689999999999998,18,85,4.86,NG,1675307485
426,kaeo,-35.1,173.7833,25.74000000000001,84,100,2.65,NZ,1675307071
427,athabasca,54.7169,-113.2854,-25.25999999999999,93,100,1.68,CA,1675307486
428,gorgan,36.8387,54.4348,7.770000000000039,63,0,2.19,IR,1675307486
429,nouadhibou,20.931,-17.0347,16.310000000000002,78,100,9.65,MR,1675307487
430,paragould,36.0584,-90.4973,-1.0399999999999636,73,95,1.86,US,1675307325
431,yermish,54.7678,42.2711,-4.199999999999989,97,100,2.74,RU,1675307487
432,kihurio,-4.4667,38.0667,20.420000000000016,85,80,0.74,TZ,1675307488
433,coari,-4.085,-63.1414,22.890000000000043,97,87,1.22,BR,1675307487
434,chicama,-7.8447,-79.1469,21.30000000000001,68,51,1.78,PE,1675307488
435,edd,13.9297,41.6925,24.32000000000005,69,40,0.4,ER,1675307488
436,akhtubinsk,48.2795,46.1722,-5.0,90,100,2.98,RU,1675307489
437,bata,1.8639,9.7658,25.379999999999995,87,39,2.02,GQ,1675307489
438,ryotsu,38.0833,138.4333,2.8700000000000045,59,96,9.0,JP,1675307094
439,merke,42.8728,73.1786,1.3700000000000045,79,100,1.17,KZ,1675307490
440,ulaanbaatar,47.9077,106.8832,-22.92999999999998,77,88,1.0,MN,1675307486
441,springdale,36.1867,-94.1288,-0.8299999999999841,83,75,1.54,US,1675307490
442,nagato,34.3833,131.2,8.360000000000014,62,100,5.82,JP,1675307491
443,pasni,25.2631,63.471,18.480000000000018,63,0,2.88,PK,1675307491
444,gus-zheleznyy,55.0581,41.1656,-5.21999999999997,97,100,2.37,RU,1675307492
445,la romana,18.4273,-68.9728,21.200000000000045,94,20,0.0,DO,1675306813
446,petrivka,46.9695,30.9591,-2.0299999999999727,87,77,2.88,UA,1675307492
447,moose factory,51.2585,-80.6094,-23.00999999999999,84,0,3.09,CA,1675307091
448,buchanan,5.8808,-10.0467,25.379999999999995,91,9,1.04,LR,1675307493
449,le mars,42.7942,-96.1656,-9.67999999999995,100,0,0.0,US,1675307493
450,teshie,5.5836,-0.1072,25.78000000000003,87,9,3.15,GH,1675307493
451,sungaipenuh,-2.0833,101.3833,25.340000000000032,52,78,1.94,ID,1675307140
452,guerrero,17.6667,-100.0,16.840000000000032,69,0,2.5,MX,1675307494
453,niksic,42.7731,18.9445,0.9300000000000068,86,86,0.36,ME,1675307494
454,bantacan,7.604,126.1298,29.010000000000048,69,72,2.28,PH,1675307495
455,ravar,31.2656,56.8055,10.860000000000014,69,38,2.99,IR,1675307495
456,sechura,-5.5569,-80.8222,24.140000000000043,73,65,2.02,PE,1675307495
457,miri,4.4148,114.0089,28.78000000000003,67,75,1.7,MY,1675307496
458,okulovka,58.4008,33.2908,-4.579999999999984,89,100,3.39,RU,1675307496
459,kurumkan,54.3,110.3,-18.92999999999998,95,97,0.43,RU,1675307497
460,riberalta,-10.9833,-66.1,22.82000000000005,98,100,0.48,BO,1675307497
461,turukhansk,65.8167,87.9833,-12.5,96,100,3.79,RU,1675307498
462,bogalusa,30.791,-89.8487,13.25,87,100,2.57,US,1675307498
463,ahuimanu,21.4447,-157.8378,27.52000000000004,77,0,2.57,US,1675307498
464,guerrero negro,27.9769,-114.0611,14.270000000000039,59,0,4.35,MX,1675307490
